PosX	PosY	PosZ		ForceX	ForceY	ForceZ		ThetaX	ThetaY	ThetaZ		TorqueX	TorqueY	TorqueZ		EstTorqueX	EstTorqueY	EstTorqueZ		ResidTorqueX	ResidTorqueY	ResidTorqueZ
4.1	-0.2	0		0	0	100		0.94	-8	-0.5		-20	-410	0		-25.7	-386.23	0		5.7	-23.77	0
4.1	-0.2	0		0	0	100		0.94	-7.75	-0.31		-20	-410	0		-24.42	-372.17	0		4.42	-37.83	0
4.1	-0.2	0		0	0	100		0.94	-6.94	-0.25		-20	-410	0		-26.17	-332.05	0		6.17	-77.95	0
4.1	-0.2	0		0	0	120		1	-9.69	0.12		-24	-492	0		-16.87	-461.33	0		-7.13	-30.67	0
4.1	-0.2	0		0	0	120		1.25	-9.06	-0.38		-24	-492	0		-35.91	-434.05	0		11.91	-57.95	0
4.1	-0.2	0		0	0	120		1.06	-9.31	-0.31		-24	-492	0		-25.65	-447.07	0		1.65	-44.93	0
4.1	-0.2	0		0	0	140		1.31	-11.5	-0.44		-28	-574	0		-32.26	-552.61	0		4.26	-21.39	0
4.1	-0.2	0		0	0	140		1.19	-11.12	-1.19		-28	-574	0		-35.58	-543.06	0		7.58	-30.94	0
4.1	-0.2	0		0	0	140		1.31	-11.31	-0.44		-28	-574	0		-32.82	-543.5	0		4.82	-30.5	0
4.1	-0.2	0		0	0	160		1.44	-12.69	-0.62		-32	-656	0		-36.63	-611.22	0		4.63	-44.78	0
4.1	-0.2	0		0	0	160		1.56	-13.69	-0.56		-32	-656	0		-38.86	-658.16	0		6.86	2.16	0
4.1	-0.2	0		0	0	160		1.38	-13.25	-0.5		-32	-656	0		-30.66	-637.77	0		-1.34	-18.23	0
3.5	0.4	0		0	0	20		0	-1.19	0		8	-70	0		3.54	-57.7	0		4.46	-12.3	0
3.5	0.4	0		0	0	20		-0.06	-1.06	0		8	-70	0		6.11	-52.13	0		1.89	-17.87	0
3.5	0.4	0		0	0	20		-0.12	-1.12	-0.06		8	-70	0		8.57	-56.31	0		-0.57	-13.69	0
3.5	0.4	0		0	0	40		-0.06	-2.5	-0.06		16	-140	0		9.72	-122.61	0		6.28	-17.39	0
3.5	0.4	0		0	0	40		-0.12	-2.25	-0.12		16	-140	0		11.25	-111.6	0		4.75	-28.4	0
3.5	0.4	0		0	0	40		-0.06	-1.81	-0.06		16	-140	0		7.67	-89.21	0		8.33	-50.79	0
3.5	0.4	0		0	0	60		-0.12	-3.06	-0.06		24	-210	0		14.34	-150.44	0		9.66	-59.56	0
3.5	0.4	0		0	0	60		-0.19	-3.62	-0.12		24	-210	0		18.29	-178.91	0		5.71	-31.09	0
3.5	0.4	0		0	0	60		-0.25	-3.44	-0.12		24	-210	0		20.68	-170.31	0		3.32	-39.69	0
3.5	0.4	0		0	0	80		-0.19	-5.25	-0.19		32	-280	0		22.46	-258.51	0		9.54	-21.49	0
3.5	0.4	0		0	0	80		-0.19	-4.62	-0.19		32	-280	0		20.6	-228.14	0		11.4	-51.86	0
3.5	0.4	0		0	0	80		-0.25	-4.75	-0.19		32	-280	0		23.91	-234.72	0		8.09	-45.28	0
3.5	0.4	0		0	0	100		-0.31	-5.56	-0.19		40	-350	0		29.28	-274.7	0		10.72	-75.3	0
3.5	0.4	0		0	0	100		-0.5	-6.31	-0.31		40	-350	0		39	-313.93	0		1	-36.07	0
3.5	0.4	0		0	0	100		-0.31	-6.81	-0.25		40	-350	0		32.33	-336.07	0		7.67	-13.93	0
3.5	0.4	0		0	0	120		-0.19	-6.12	-0.19		48	-420	0		25.07	-301.02	0		22.93	-118.98	0
3.5	0.4	0		0	0	120		-0.38	-7.69	-0.25		48	-420	0		37.88	-379.09	0		10.12	-40.91	0
3.5	0.4	0		0	0	120		-0.44	-8.31	-0.31		48	-420	0		42.02	-410.59	0		5.98	-9.41	0
3.5	0.4	0		0	0	140		-0.44	-8.5	-0.38		56	-490	0		41.9	-420.34	0		14.1	-69.66	0
3.5	0.4	0		0	0	140		-0.56	-9.19	-0.38		56	-490	0		49.84	-454.75	0		6.16	-35.25	0
3.5	0.4	0		0	0	140		-0.69	-9.38	-0.31		56	-490	0		56.96	-464.24	0		-0.96	-25.76	0
3.5	0.4	0		0	0	160		-0.69	-10.81	-0.38		64	-560	0		60.57	-534.72	0		3.43	-25.28	0
3.5	0.4	0		0	0	160		-0.81	-11.12	-0.5		64	-560	0		66.04	-552.18	0		-2.04	-7.82	0
3.5	0.4	0		0	0	160		-0.69	-11.19	-0.69		64	-560	0		58.32	-556.12	0		5.68	-3.88	0
3.5	0.4	0		0	0	180		-1	-12.75	-0.5		72	-630	0		79.72	-632.65	0		-7.72	2.65	0
